title,company,location,salary,required_experience,skills,time_posted,link,keyword
Middle/Senior Node.js + Typescript Backend Developer,АО PAYME ,,,1–3 года,,4 ноября 2024,https://hh.ru/vacancy/110047156?query=Backend+developer&hhtmFrom=vacancy_search_list,Backend developer
Backend разработчик (python),ИП Aros (Яратов Жавадбек Васил угли) ,,,3–6 лет,"Python, Docker, Git, SQL",4 ноября 2024,https://hh.ru/vacancy/109549186?query=Backend+developer&hhtmFrom=vacancy_search_list,Backend developer
SENIOR backend developer в MIGORSKIY AI,ООО LUCKY BUSINESS GROUP SOLUTION ,,,3–6 лет,"Python, GitHub, MS SQL Server, Docker, SQL, SOLID, PostgreSQL, MySQL, REST API, Алгоритмы и структуры данных, Elasticsearch, Django Rest Framework, GitLab CI, Docker-compose, Русский — C1 — Продвинутый",3 ноября 2024,https://hh.ru/vacancy/109017489?query=Backend+developer&hhtmFrom=vacancy_search_list,Backend developer
Backend-разработчик,ООО IPLUS ,,от 15 000 000 so'm на руки,1–3 года,"PHP, HTML, MVC, ORM, Laravel, HTTP, JSON, REST API, Git, Bug Tracking Systems, BrowserStack, Техническая поддержка пользователей, Настройка сетевых подключений, Обеспечение антивирусной защиты, Администрирование сетевого оборудования, Русский — C2 — В совершенстве, Узбекский — C1 — Продвинутый",2 ноября 2024,https://hh.ru/vacancy/108646994?query=Backend+developer&hhtmFrom=vacancy_search_list,Backend developer
Senior Backend Developer,IOTA (OOO BEFORMED) ,,до 4 000 $ на руки,3–6 лет,"Node.js, TypeScript, Golang, Python, Английский — B2 — Средне-продвинутый, Русский — B1 — Средний",4 ноября 2024,https://hh.ru/vacancy/109295281?query=Backend+developer&hhtmFrom=vacancy_search_list,Backend developer
Frontend-разработчик,SATashkent ,,от 500 до 1 500 $ на руки,1–3 года,,4 ноября 2024,https://hh.ru/vacancy/108902432?query=Frontend+developer&hhtmFrom=vacancy_search_list,Frontend developer
Frontend-разработчик,ООО SAMIT GLOBAL INC ,,,1–3 года,,3 ноября 2024,https://hh.ru/vacancy/109769552?query=Frontend+developer&hhtmFrom=vacancy_search_list,Frontend developer
Frontend-разработчик Vue,ООО SMARTTECH SOFT ,,до 2 500 $ на руки,3–6 лет,"JavaScript, Vue, HTML5, CSS3",2 ноября 2024,https://hh.ru/vacancy/108416085?query=Frontend+developer&hhtmFrom=vacancy_search_list,Frontend developer
Frontend-разработчик (react.js),ООО SD Solutions ,,,1–3 года,,2 ноября 2024,https://hh.ru/vacancy/109623893?query=Frontend+developer&hhtmFrom=vacancy_search_list,Frontend developer
Senior Data Analyst (Commerce),Korzinka (Anglesey food) ,,,3–6 лет,,2 ноября 2024,https://hh.ru/vacancy/109966748?query=Data+analyst&hhtmFrom=vacancy_search_list,Data analyst
Data Analyst (Supply Chain),Korzinka (Anglesey food) ,,,3–6 лет,,2 ноября 2024,https://hh.ru/vacancy/109965942?query=Data+analyst&hhtmFrom=vacancy_search_list,Data analyst
DATA АНАЛИТИК/ Аналитик данных,ИП ООО Finserv Tech ,,,1–3 года,Русский — C2 — В совершенстве,4 ноября 2024,https://hh.ru/vacancy/110038122?query=Data+analyst&hhtmFrom=vacancy_search_list,Data analyst
Data Engineer (Дата инженер),ООО INFODECS ,,,3–6 лет,"Python, SQL, Amazon Web Services, GCP - cloud, Azure - cloud",4 ноября 2024,https://hh.ru/vacancy/107872893?query=Data+engineer&hhtmFrom=vacancy_search_list,Data engineer
Data Engineer,Korzinka (Anglesey food) ,,,3–6 лет,,2 ноября 2024,https://hh.ru/vacancy/109966411?query=Data+engineer&hhtmFrom=vacancy_search_list,Data engineer
Data Engineer AI (удаленно),LATOKEN ,,от 2 200 до 3 400 $ на руки,3–6 лет,"Python, DWH, PostgresSQL, CRM, ERP, SQL, ETL, PowerBI, PostgreSQL, Power BI, ML",2 ноября 2024,https://hh.ru/vacancy/109619109?query=Data+engineer&hhtmFrom=vacancy_search_list,Data engineer
Data Engineer AI (удаленно),LATOKEN ,,от 2 200 до 3 400 $ на руки,3–6 лет,"Python, DWH, PostgresSQL, CRM, ERP, SQL, ETL, PowerBI, PostgreSQL, Power BI, ML",2 ноября 2024,https://hh.ru/vacancy/109619109?query=AI+engineer&hhtmFrom=vacancy_search_list,AI engineer
Middle/Senior Android developer,АО PAYME ,,,3–6 лет,"Java, Android SDK, Kotlin, Android, Git",4 ноября 2024,https://hh.ru/vacancy/110047447?query=Android+developer&hhtmFrom=vacancy_search_list,Android developer
DevOps Engineer (Middle/Senior),TBC ,,,3–6 лет,,4 ноября 2024,https://hh.ru/vacancy/110034957?query=DevOps+engineer&hhtmFrom=vacancy_search_list,DevOps engineer
IT Project manager,ООО Amedia Online Group ,,,1–3 года,,3 ноября 2024,https://hh.ru/vacancy/108229659?query=IT+project+manager&hhtmFrom=vacancy_search_list,IT project manager
Сетевой инженер,СП ООО IST TELEKOM ,,,3–6 лет,"Администрирование сетевого оборудования, Инженерная инфраструктура и сети, Cisco, CCNA, Русский — B2 — Средне-продвинутый, Английский — B2 — Средне-продвинутый",4 ноября 2024,https://hh.ru/vacancy/109846790?query=Network+engineer&hhtmFrom=vacancy_search_list,Network engineer
Сетевой инженер,ООО Apko Digitality ,,,3–6 лет,"Настройка сетевых подключений, Администрирование сетевого оборудования, Техническое обслуживание, Настройка ПО, Информационная безопасность, Настройка серверов, Английский язык",4 ноября 2024,https://hh.ru/vacancy/110034096?query=Network+engineer&hhtmFrom=vacancy_search_list,Network engineer
Senior Full-stack Разработчик (C# и Angular),ООО UZINFOCOM ,,,более 6 лет,".NET Core, .NET Framework, Angular, C#",4 ноября 2024,https://hh.ru/vacancy/110057372?query=Full+stack+developer&hhtmFrom=vacancy_search_list,Full stack developer
Full stack developer Vue/PHP,3205.team ,,,1–3 года,"TypeScript, React.js, VueJS, PHP, JavaScript, Laravel",4 ноября 2024,https://hh.ru/vacancy/109152799?query=Full+stack+developer&hhtmFrom=vacancy_search_list,Full stack developer
