time_posted,keyword,skills,company,country
11/04/2024,Backend developer,nan,АО PAYME,Uzbekistan
11/04/2024,Backend developer,Python,IP Aros (Yaratov Javadbek Vasil ugli),Uzbekistan
11/04/2024,Backend developer,Docker,IP Aros (Yaratov Javadbek Vasil ugli),Uzbekistan
11/04/2024,Backend developer,Git,IP Aros (Yaratov Javadbek Vasil ugli),Uzbekistan
11/04/2024,Backend developer,SQL,IP Aros (Yaratov Javadbek Vasil ugli),Uzbekistan
11/03/2024,Backend developer,Python,ООО LUCKY BUSINESS GROUP SOLUTION,Uzbekistan
11/03/2024,Backend developer,GitHub,ООО LUCKY BUSINESS GROUP SOLUTION,Uzbekistan
11/03/2024,Backend developer,MS SQL Server,ООО LUCKY BUSINESS GROUP SOLUTION,Uzbekistan
11/03/2024,Backend developer,Docker,ООО LUCKY BUSINESS GROUP SOLUTION,Uzbekistan
11/03/2024,Backend developer,SQL,ООО LUCKY BUSINESS GROUP SOLUTION,Uzbekistan
11/03/2024,Backend developer,SOLID,ООО LUCKY BUSINESS GROUP SOLUTION,Uzbekistan
11/03/2024,Backend developer,PostgreSQL,ООО LUCKY BUSINESS GROUP SOLUTION,Uzbekistan
11/03/2024,Backend developer,MySQL,ООО LUCKY BUSINESS GROUP SOLUTION,Uzbekistan
11/03/2024,Backend developer,REST API,ООО LUCKY BUSINESS GROUP SOLUTION,Uzbekistan
11/03/2024,Backend developer,Algorithms and data structures,ООО LUCKY BUSINESS GROUP SOLUTION,Uzbekistan
11/03/2024,Backend developer,Elasticsearch,ООО LUCKY BUSINESS GROUP SOLUTION,Uzbekistan
11/03/2024,Backend developer,Django Rest Framework,ООО LUCKY BUSINESS GROUP SOLUTION,Uzbekistan
11/03/2024,Backend developer,GitLab CI,ООО LUCKY BUSINESS GROUP SOLUTION,Uzbekistan
11/03/2024,Backend developer,Docker-compose,ООО LUCKY BUSINESS GROUP SOLUTION,Uzbekistan
11/03/2024,Backend developer,Russian - C1 - Advanced,ООО LUCKY BUSINESS GROUP SOLUTION,Uzbekistan
11/02/2024,Backend developer,PHP,OOO IPLUS,Uzbekistan
11/02/2024,Backend developer,HTML,OOO IPLUS,Uzbekistan
11/02/2024,Backend developer,MVC,OOO IPLUS,Uzbekistan
11/02/2024,Backend developer,ORM,OOO IPLUS,Uzbekistan
